nombre,descripcion
Aceite lubricantes Castrol,Lubricante de alta calidad para proteger piezas móviles de herramientas y maquinaria.
Alicates,"Herramienta manual para sujetar, cortar o doblar alambres y materiales pequeños."
Amoladora,"Herramienta eléctrica para cortar, desbastar o lijar materiales diversos."
Arco de Sierra,Herramienta manual para cortar madera con precisión
Atornillador Eléctrico,Herramienta eléctrica para atornillar o desatornillar tornillos rápidamente.
Brocha,Herramienta de cerdas suaves para aplicar pintura en superficies amplias o detalles.
Caja de Herramientas,Caja plástica resistente para almacenar y organizar herramientas manuales.
Carretilla Buggy,Carretilla robusta con rueda reforzada para transportar materiales de construcción.
Cepillo de Alambre,"Herramienta manual para eliminar óxido, pintura o residuos de superficies metálicas."
Cepillo de Madera,Ideal para alisar y dar acabado a superficies de madera
Cinceles,"Set de cinceles metálicos ideales para tallado, corte y escultura."
Cinta,Cinta adhesiva de enmascarar ideal para delimitar zonas durante trabajos de pintura.
Cinta Métrica,Cinta métrica retráctil ideal para medir distancias en trabajos de construcción y carpintería.
Escuadra,Útil para marcar y verificar ángulos rectos en carpintería
Formones,Conjunto de herramientas para tallar y desbastar madera con precisión.
Gafas de Seguridad,"Protección ocular contra impactos, polvo y salpicaduras en talleres o industrias."
Gato Hidráulico,Dispositivo para levantar vehículos u objetos pesados con esfuerzo mínimo.
Grapas,Grapas metálicas para uso con grapadoras manuales o eléctricas.
Guantes de Trabajo,Guantes reforzados para manipular herramientas y materiales pesados.
Gubias,Conjunto de herramientas para tallado de madera
Juego de Destornillador,Kit de destornilladores para diferentes tipos de tornillos y cabezales.
Lijadora,Herramienta eléctrica para lijar superficies de madera o metal.
Lijas,Hojas abrasivas para alisar superficies antes o después del pintado.
Limas,Herramienta para dar forma y suavizar superficies metálicas o de madera.
Linterna,Linterna LED de alto brillo ideal para trabajos nocturnos o lugares oscuros.
Llave Inglesa,Herramienta ajustable para apretar o aflojar tuercas y tornillos.
Llaves Combinadas,Juego de llaves de boca fija y estrella para trabajos mecánicos.
Martillo,"Herramienta manual para clavar, extraer clavos o romper materiales."
Masilla,Relleno para grietas o imperfecciones en superficies antes de pintar.
Nivelador,Herramienta de nivel con burbuja para verificar superficies horizontales o verticales.
Pala,Pala ergonómica para cavar y mover tierra o materiales en obra.
Pico de Construcción,Pico de acero ideal para romper terrenos duros en obras y excavaciones.
Pistola de pintura,Dispositivo para pintar grandes superficies con precisión y rapidez.
Plomada,Instrumento tradicional para verificar la verticalidad de estructuras.
Prensa,Herramienta para sujetar piezas de forma segura
Pulidora,Herramienta usada para abrillantar superficies como metales o pintura automotriz.
Regla Metálica,Regla de acero inoxidable para mediciones precisas en obra y taller.
Remache,Remaches metálicos para unir chapas u otros materiales de forma permanente.
Rodillo,Herramienta cilíndrica para aplicar pintura en superficies amplias rápidamente.
Rotomartillo,Herramienta eléctrica potente para perforaciones en concreto y paredes.
Serrucho,Herramienta para cortar madera u otros materiales blandos de forma manual.
Sierra Manual,Herramienta manual para cortar madera u otros materiales blandos.
Soldadora,Máquina para unir metales mediante calor por arco eléctrico.
Tacos de Lijado,Bloques para lijar superficies planas o curvas
Taladro,Herramienta eléctrica para perforar diversos materiales.
Tarugo,Tarugos plásticos para fijaciones seguras en paredes o concreto.
Tornillo,Tornillo de acero autorroscante para múltiples aplicaciones de fijación.
Trapo de microfibra,Paño de microfibra suave y absorbente ideal para limpiar herramientas sin rayarlas.
Tuercas y pernos,Conjunto de pernos con sus respectivas tuercas para uniones desmontables.
